M,N,K,kTM,kTN,kTK,cuBLAS(ms),Cutlass(ms),TiledCUDA(ms)
4096,4096,2048,128,256,64,0.2782,1.5708,nan
4096,4096,2048,64,256,32,0.2777,1.5551,1.5570
4096,4096,2048,128,128,32,0.2783,1.5496,1.5595
4096,4096,2048,128,64,32,0.2788,1.5607,1.5585
4096,4096,2048,64,128,32,0.2775,1.5669,1.5651
4096,4096,2048,128,32,32,0.2775,1.5598,1.5513
4096,4096,2048,32,64,32,0.2776,1.5703,1.5804
4096,4096,2048,128,256,128,0.2779,1.5759,2.3767
4096,4096,2048,256,128,128,0.2779,1.5895,nan
4096,4096,2048,64,256,128,0.2799,1.5880,1.5364
4096,4096,2048,128,128,128,0.2782,1.5317,1.5340
4096,4096,2048,128,64,64,0.2782,1.5175,1.5252
4096,4096,2048,64,128,64,0.2795,1.5541,1.5356
