[kTM, kTN, kTK]	kRk	Threads	TiledCUDA(ms)	cuBLAS(ms)	Ratio
[32, 32, 32]	16	128	 3.7718	0.5802	6.501
[32, 32, 32]	32	128	 3.8337	0.5899	6.499
[32, 32, 64]	16	128	 4.2053	0.5769	7.290
[32, 32, 64]	32	128	 4.3177	0.5784	7.464
[32, 32, 64]	64	128	 4.5568	0.5825	7.822
[32, 64, 32]	16	128	 2.7280	0.5883	4.637
[32, 64, 32]	32	128	 2.8004	0.5843	4.793
[32, 64, 64]	16	128	 3.1626	0.5758	5.493
[32, 64, 64]	32	128	 3.3051	0.5675	5.824
[32, 64, 64]	64	128	 3.3346	0.5750	5.799
[32, 128, 32]	16	128	 2.2768	0.5869	3.880
[32, 128, 32]	32	128	 2.2718	0.5803	3.915
[32, 128, 64]	16	128	 2.7606	0.5816	4.747
[32, 128, 64]	32	128	 2.7293	0.5809	4.698
[32, 128, 64]	64	128	 2.8712	0.5689	5.047
[64, 32, 32]	16	128	 2.7449	0.5781	4.748
[64, 32, 32]	32	128	 2.7978	0.5810	4.816
[64, 32, 64]	16	128	 3.2679	0.5666	5.768
[64, 32, 64]	32	128	 3.4045	0.5631	6.046
[64, 32, 64]	64	128	 3.5923	0.5746	6.251
[64, 64, 32]	16	128	 1.8676	0.5835	3.200
[64, 64, 32]	32	128	 1.9283	0.5822	3.312
[64, 64, 64]	16	128	 2.2374	0.5705	3.922
[64, 64, 64]	32	128	 2.3888	0.5774	4.138
[64, 64, 64]	64	128	 2.5983	0.5720	4.543
[64, 128, 32]	16	128	 1.9011	0.5678	3.348
[64, 128, 32]	32	128	 1.9686	0.5637	3.492
[64, 128, 64]	16	128	 2.2675	0.5632	4.026
[64, 128, 64]	32	128	 2.1256	0.5682	3.741
[64, 128, 64]	64	128	 2.2263	0.5730	3.885
[128, 32, 32]	16	128	 2.4121	0.5711	4.223
[128, 32, 32]	32	128	 2.5452	0.5702	4.464
[128, 32, 64]	16	128	 2.9759	0.5766	5.161
[128, 32, 64]	32	128	 3.2046	0.5766	5.558
[128, 32, 64]	64	128	 4.0639	0.5744	7.075
[128, 64, 32]	16	128	 1.9918	0.5746	3.467
[128, 64, 32]	32	128	 2.0894	0.5726	3.649
[128, 64, 64]	16	128	 2.3345	0.5614	4.158
[128, 64, 64]	32	128	 2.4054	0.5619	4.281
[128, 64, 64]	64	128	 2.4788	0.5681	4.363
[128, 128, 32]	16	128	 2.2188	0.5691	3.899
[128, 128, 32]	32	128	 2.0066	0.5742	3.495
[128, 128, 64]	16	128	 2.2698	0.5767	3.936
[128, 128, 64]	32	128	 2.2304	0.5732	3.891
[128, 128, 64]	64	128	 2.2829	0.5765	3.960
[32, 64, 64]	16	256	 4.2274	0.5696	7.421
[32, 64, 64]	32	256	 4.5559	0.5666	8.041
[32, 64, 64]	64	256	 4.5134	0.5764	7.830
[32, 128, 64]	16	256	 3.3009	0.5654	5.839
[32, 128, 64]	32	256	 3.8158	0.5680	6.718
[32, 128, 64]	64	256	 3.8520	0.5661	6.805
[64, 64, 64]	16	256	 3.6713	0.5714	6.425
[64, 64, 64]	32	256	 3.5857	0.5717	6.272
[64, 64, 64]	64	256	 3.5980	0.5629	6.392
[64, 128, 64]	16	256	 2.3481	0.5733	4.096
[64, 128, 64]	32	256	 2.3661	0.5702	4.150
[64, 128, 64]	64	256	 3.2924	0.5733	5.743
[128, 64, 64]	16	256	 3.8358	0.5665	6.771
[128, 64, 64]	32	256	 3.7605	0.5662	6.642
[128, 64, 64]	64	256	 3.9787	0.5660	7.029
[128, 128, 64]	16	256	 2.6387	0.5732	4.603
[128, 128, 64]	32	256	 2.4275	0.5714	4.249
[128, 128, 64]	64	256	 2.7184	0.5608	4.847
[32, 32, 32]	16	64	 3.3799	0.5740	5.888
[32, 32, 32]	32	64	 3.4458	0.5765	5.977
[32, 32, 64]	16	64	 3.5820	0.5868	6.105
[32, 32, 64]	32	64	 3.7184	0.5729	6.490
[32, 32, 64]	64	64	 3.9982	0.5671	7.051
[32, 64, 32]	16	64	 2.5538	0.5789	4.412
[32, 64, 32]	32	64	 2.5451	0.5750	4.426
[32, 64, 64]	16	64	 2.6514	0.5785	4.583
[32, 64, 64]	32	64	 2.7174	0.5697	4.770
[32, 64, 64]	64	64	 2.9696	0.5678	5.230
[32, 128, 32]	16	64	 2.2347	0.5801	3.852
[32, 128, 32]	32	64	 2.2265	0.5748	3.873
[32, 128, 64]	16	64	 2.2967	0.5680	4.043
[32, 128, 64]	32	64	 2.2824	0.5720	3.991
[32, 128, 64]	64	64	 2.2528	0.5694	3.956
[64, 32, 32]	16	64	 2.6608	0.5691	4.675
[64, 32, 32]	32	64	 2.7344	0.5703	4.795
[64, 32, 64]	16	64	 3.0214	0.5786	5.222
[64, 32, 64]	32	64	 3.4339	0.5726	5.997
[64, 32, 64]	64	64	 3.5849	0.5627	6.370
[64, 64, 32]	16	64	 1.9460	0.5761	3.378
[64, 64, 32]	32	64	 1.9278	0.5670	3.400
[64, 64, 64]	16	64	 2.1596	0.5790	3.730
[64, 64, 64]	32	64	 2.1118	0.5712	3.697
[64, 64, 64]	64	64	 2.3392	0.5792	4.039
[64, 128, 32]	16	64	 2.5369	0.5706	4.446
[64, 128, 32]	32	64	 2.2596	0.5757	3.925
