M,N,K,kTM,kTN,kTK,cuBLAS(ms),Cutlass(ms),TiledCUDA(ms)
4096,4096,2048,128,256,64,0.2777,1.5857,nan
4096,4096,2048,64,256,32,0.2787,1.5351,1.5729
4096,4096,2048,128,128,32,0.2790,1.5618,1.5439
4096,4096,2048,128,64,32,0.2777,1.5506,1.5677
4096,4096,2048,64,128,32,0.2781,1.5840,1.5887
4096,4096,2048,128,32,32,0.2778,1.5643,1.5810
4096,4096,2048,32,64,32,0.2794,3.9620,1.5433
4096,4096,2048,128,256,128,0.2805,1.5647,nan
4096,4096,2048,256,128,128,0.2790,1.5799,2.5801
4096,4096,2048,64,256,128,0.2780,1.5490,1.5441
4096,4096,2048,128,128,128,0.2791,1.5612,1.5834
4096,4096,2048,128,64,64,0.2791,1.5799,1.5626
4096,4096,2048,64,128,64,0.2779,1.5899,1.5814
4096,4096,32,64,32,32,0.0297,1.5930,1.5719
4096,4096,64,128,128,64,0.0372,1.6003,1.5975
