[kTM, kTN, kTK]	kRk	Threads	TiledCUDA(ms)	cuBLAS(ms)	Ratio
[32, 32, 32]	16	128	 3.8870	0.5812	6.688
[32, 32, 32]	32	128	 3.9472	0.5883	6.709
[32, 32, 64]	16	128	 4.1991	0.5813	7.224
[32, 32, 64]	32	128	 4.3120	0.5804	7.429
[32, 32, 64]	64	128	 4.5568	0.5705	7.988
[32, 32, 256]	16	128	 4.6403	0.5680	8.170
[32, 32, 256]	32	128	 4.6911	0.5784	8.111
[32, 32, 256]	64	128	 4.7150	0.5801	8.129
[32, 64, 32]	16	128	 2.6985	0.5794	4.658
[32, 64, 32]	32	128	 2.7666	0.5847	4.731
[32, 64, 64]	16	128	 3.2679	0.5698	5.735
[32, 64, 64]	32	128	 3.2956	0.5677	5.806
[32, 64, 64]	64	128	 3.5280	0.5660	6.233
[32, 64, 256]	16	128	 3.5448	0.5663	6.259
[32, 64, 256]	32	128	 3.5651	0.5658	6.301
[32, 64, 256]	64	128	 3.5296	0.5607	6.294
[32, 128, 32]	16	128	 2.2638	0.5659	4.000
[32, 128, 32]	32	128	 2.2593	0.5790	3.902
[32, 128, 64]	16	128	 2.7786	0.5615	4.949
[32, 128, 64]	32	128	 2.7406	0.5618	4.879
[32, 128, 64]	64	128	 2.8980	0.5718	5.068
[32, 128, 256]	16	128	 3.1917	0.5711	5.589
[32, 128, 256]	32	128	 3.1067	0.5683	5.467
[32, 128, 256]	64	128	 3.0128	0.5731	5.257
[32, 256, 32]	16	128	 2.1953	0.5602	3.919
[32, 256, 32]	32	128	 2.1716	0.5747	3.779
[32, 256, 64]	16	128	 2.8617	0.5613	5.098
[32, 256, 64]	32	128	 3.2424	0.5707	5.682
[32, 256, 64]	64	128	 3.2098	0.5625	5.706
[32, 256, 256]	16	128	 4.5277	0.5621	8.055
[32, 256, 256]	32	128	 4.2810	0.5596	7.650
[32, 256, 256]	64	128	 4.0102	0.5591	7.172
[64, 32, 32]	16	128	 2.7506	0.5706	4.821
[64, 32, 32]	32	128	 2.9811	0.5715	5.217
[64, 32, 64]	16	128	 3.2862	0.5658	5.808
[64, 32, 64]	32	128	 3.4157	0.5748	5.943
[64, 32, 64]	64	128	 3.6051	0.5744	6.276
[64, 32, 256]	16	128	 3.5193	0.5664	6.213
[64, 32, 256]	32	128	 3.6475	0.5630	6.479
[64, 32, 256]	64	128	 3.7183	0.5648	6.584
[64, 64, 32]	16	128	 1.8867	0.5831	3.236
[64, 64, 32]	32	128	 1.9264	0.5822	3.309
[64, 64, 64]	16	128	 2.2544	0.5719	3.942
[64, 64, 64]	32	128	 2.4013	0.5760	4.169
[64, 64, 64]	64	128	 2.5947	0.5621	4.616
[64, 64, 256]	16	128	 2.6910	0.5618	4.790
[64, 64, 256]	32	128	 2.6838	0.5648	4.752
[64, 64, 256]	64	128	 2.8015	0.5607	4.996
[64, 128, 32]	16	128	 1.9155	0.5732	3.342
[64, 128, 32]	32	128	 1.9896	0.5655	3.518
[64, 128, 64]	16	128	 2.2764	0.5630	4.043
[64, 128, 64]	32	128	 2.1516	0.5690	3.781
[64, 128, 64]	64	128	 2.2598	0.5610	4.028
[64, 128, 256]	16	128	 3.7680	0.5656	6.662
[64, 128, 256]	32	128	 3.2070	0.5614	5.713
[64, 128, 256]	64	128	 2.9388	0.5648	5.203
[64, 256, 32]	16	128	 2.0023	0.5802	3.451
[64, 256, 32]	32	128	 1.7787	0.5794	3.070
[64, 256, 64]	16	128	 2.2425	0.5695	3.937
[64, 256, 64]	32	128	 2.0486	0.5652	3.624
[64, 256, 64]	64	128	 2.0074	0.5786	3.470
[128, 32, 32]	16	128	 2.4128	0.5712	4.224
[128, 32, 32]	32	128	 2.7756	0.5663	4.902
[128, 32, 64]	16	128	 3.0008	0.5700	5.265
[128, 32, 64]	32	128	 3.2206	0.5720	5.630
[128, 32, 64]	64	128	 4.0679	0.5669	7.175
[128, 32, 256]	16	128	 3.4061	0.5746	5.928
[128, 32, 256]	32	128	 3.6019	0.5611	6.419
[128, 32, 256]	64	128	 3.5662	0.5693	6.265
[128, 64, 32]	16	128	 1.9993	0.5713	3.500
[128, 64, 32]	32	128	 2.1448	0.5669	3.784
[128, 64, 64]	16	128	 2.3489	0.5725	4.103
[128, 64, 64]	32	128	 2.4119	0.5738	4.203
[128, 64, 64]	64	128	 2.4989	0.5683	4.397
[128, 64, 256]	16	128	 3.9617	0.5655	7.006
[128, 64, 256]	32	128	 3.4015	0.5658	6.012
[128, 64, 256]	64	128	 3.4072	0.5706	5.972
[128, 128, 32]	16	128	 2.2228	0.5784	3.843
[128, 128, 32]	32	128	 2.0211	0.5800	3.484
[128, 128, 64]	16	128	 2.2779	0.5672	4.016
[128, 128, 64]	32	128	 2.2394	0.5671	3.949
[128, 128, 64]	64	128	 2.2713	0.5653	4.018
[128, 128, 256]	16	128	 3.2008	0.5714	5.602
[128, 128, 256]	32	128	 2.9037	0.5657	5.133
[128, 128, 256]	64	128	 2.7430	0.5626	4.875
[128, 256, 32]	16	128	 6.1482	0.5736	10.718
[128, 256, 32]	32	128	 5.1131	0.5673	9.013
[128, 256, 64]	16	128	 5.9168	0.5694	10.390
[128, 256, 64]	32	128	 5.0795	0.5651	8.989
[128, 256, 64]	64	128	 4.3440	0.5667	7.665
[256, 32, 32]	16	128	 2.9135	0.5695	5.116
[256, 32, 32]	32	128	 3.0214	0.5620	5.376
[256, 32, 64]	16	128	 3.6927	0.5611	6.581
[256, 32, 64]	32	128	 3.4433	0.5647	6.098
[256, 32, 64]	64	128	 4.4424	0.5673	7.831
[256, 32, 256]	16	128	 5.2681	0.5656	9.315
[256, 32, 256]	32	128	 5.1317	0.5613	9.142
[256, 32, 256]	64	128	 5.6382	0.5672	9.941
[256, 64, 32]	16	128	 3.2011	0.5666	5.650
[256, 64, 32]	32	128	 3.3108	0.5734	5.774
[256, 64, 64]	16	128	 3.3358	0.5634	5.921
[256, 64, 64]	32	128	 3.4919	0.5669	6.160
[256, 64, 64]	64	128	 3.7774	0.5730	6.592
[256, 128, 32]	16	128	 6.8152	0.5677	12.005
[256, 128, 32]	32	128	 5.5622	0.5621	9.896
[256, 128, 64]	16	128	 6.5770	0.5743	11.453
[256, 128, 64]	32	128	 5.5004	0.5709	9.635
[256, 128, 64]	64	128	 5.1457	0.5633	9.135
[32, 64, 64]	16	256	 4.4518	0.5611	7.934
[32, 64, 64]	32	256	 4.5681	0.5599	8.158
[32, 64, 64]	64	256	 5.2658	0.5616	9.377
[32, 64, 256]	16	256	 4.3137	0.5693	7.577
[32, 64, 256]	32	256	 4.2252	0.5646	7.484
[32, 64, 256]	64	256	 4.7177	0.5676	8.311
[32, 128, 64]	16	256	 3.3119	0.5717	5.794
[32, 128, 64]	32	256	 3.8272	0.5612	6.820
[32, 128, 64]	64	256	 3.9022	0.5686	6.863
[32, 128, 256]	16	256	 3.4791	0.5740	6.061
[32, 128, 256]	32	256	 3.5817	0.5645	6.345
[32, 128, 256]	64	256	 3.5986	0.5746	6.262
[32, 256, 64]	16	256	 3.0824	0.5621	5.484
[32, 256, 64]	32	256	 3.0184	0.5643	5.349
[32, 256, 64]	64	256	 3.8151	0.5693	6.701
[32, 256, 256]	16	256	 3.7224	0.5662	6.574
[32, 256, 256]	32	256	 3.7131	0.5622	6.605
[32, 256, 256]	64	256	 3.8173	0.5650	6.756
[64, 64, 64]	16	256	 3.7670	0.5675	6.638
[64, 64, 64]	32	256	 3.6136	0.5642	6.404
[64, 64, 64]	64	256	 3.5823	0.5723	6.260
[64, 64, 256]	16	256	 3.3896	0.5699	5.948
[64, 64, 256]	32	256	 3.3772	0.5726	5.898
[64, 64, 256]	64	256	 4.5972	0.5733	8.019
[64, 128, 64]	16	256	 2.3591	0.5688	4.148
[64, 128, 64]	32	256	 2.3796	0.5621	4.234
[64, 128, 64]	64	256	 3.3021	0.5604	5.892
[64, 128, 256]	16	256	 3.0217	0.5613	5.383
[64, 128, 256]	32	256	 3.0737	0.5748	5.348
[64, 128, 256]	64	256	 3.0880	0.5625	5.490
[64, 256, 64]	16	256	 2.5235	0.5697	4.429
[64, 256, 64]	32	256	 2.5380	0.5724	4.434
[64, 256, 64]	64	256	 2.3760	0.5676	4.186
[128, 64, 64]	16	256	 3.6748	0.5649	6.505
[128, 64, 64]	32	256	 3.8110	0.5635	6.763
[128, 64, 64]	64	256	 4.0559	0.5675	7.147
[128, 64, 256]	16	256	 3.5737	0.5592	6.390
[128, 64, 256]	32	256	 3.7497	0.5649	6.638
[128, 64, 256]	64	256	 3.7282	0.5719	6.519
[128, 128, 64]	16	256	 2.6943	0.5678	4.745
[128, 128, 64]	32	256	 2.4219	0.5729	4.228
[128, 128, 64]	64	256	 2.7483	0.5633	4.879
[128, 128, 256]	16	256	 2.3409	0.5630	4.158
[128, 128, 256]	32	256	 2.4821	0.5678	4.371
[128, 128, 256]	64	256	 2.5283	0.5715	4.424
[128, 256, 64]	16	256	 2.3780	0.5643	4.214
[128, 256, 64]	32	256	 2.6010	0.5705	4.559
[128, 256, 64]	64	256	 2.7732	0.5698	4.867
[256, 64, 64]	16	256	 3.5211	0.5654	6.228
[256, 64, 64]	32	256	 3.7437	0.5725	6.540
[256, 64, 64]	64	256	 5.3419	0.5642	9.467
[256, 128, 64]	16	256	 3.3181	0.5684	5.838
[256, 128, 64]	32	256	 3.7356	0.5632	6.633
[256, 128, 64]	64	256	 4.2584	0.5643	7.546
[32, 32, 32]	16	64	 3.3743	0.5727	5.891
[32, 32, 32]	32	64	 3.4594	0.5710	6.058
[32, 32, 64]	16	64	 3.5896	0.5831	6.156
[32, 32, 64]	32	64	 3.7177	0.5799	6.411
[32, 32, 64]	64	64	 4.0175	0.5640	7.123
[32, 32, 256]	16	64	 4.1683	0.5669	7.353
[32, 32, 256]	32	64	 4.1511	0.5646	7.353
[32, 32, 256]	64	64	 4.3037	0.5770	7.458
[32, 64, 32]	16	64	 2.5590	0.5790	4.420
[32, 64, 32]	32	64	 2.5435	0.5770	4.408
[32, 64, 64]	16	64	 2.6530	0.5752	4.612
